source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Gizmodo.com'}","Jesse Coburn, ProPublica",U.S. Housing Agency Considers Launching Crypto Experiment,HUD is pondering using the blockchain and a stablecoin. One HUD official derided it as “monopoly money.”,https://gizmodo.com/u-s-housing-agency-considers-launching-crypto-experiment-2000573596,https://gizmodo.com/app/uploads/2025/03/GettyImages-2203279232.jpg,2025-03-09T17:50:56Z,ProPublica is a Pulitzer Prize-winning investigative newsroom. Sign up for The Big Story newsletter to receive stories like this one in your inbox.The U.S. Department of Housing and Urban Development… [+9853 chars]
"{'id': None, 'name': 'Slashdot.org'}",EditorDavid,Trump Names Cryptocurrencies for 'Digital Asset Stockpile' in Social Media Post,"Despite a January announcement that America would explore the idea of a national digital asset stockpile, the exact cryptocurrecies weren't specified. Today on social media the president posted that it would include bitcoin, ether, XRP, Solana's SOL token and…",https://news.slashdot.org/story/25/03/02/2327231/trump-names-cryptocurrencies-for-digital-asset-stockpile-in-social-media-post,https://a.fsdn.com/sd/topics/money_64.png,2025-03-02T23:29:00Z,"Despite a January announcement that America would explore the idea of a national digital asset stockpile, the exact cryptocurrecies weren't specified. Today on social media the president posted that … [+1438 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Ayesha Aziz,Bitcoin's Acquisition Cost Hits Record $40.9K in 2024 as Analysts Predict $40K Floor Price,"Bitcoin’s average acquisition cost reached an all-time high of $40,980 per BTC at the end of 2024, according to ARK Invest’s Big Ideas 2025 report.",https://finance.yahoo.com/news/bitcoins-acquisition-cost-hits-record-074618301.html,https://media.zenfs.com/en/coinmarketcap_783/d3a0a5bad34a5f140d2405e0e0d5f562,2025-02-13T07:46:18Z,"Bitcoins average acquisition cost reached an all-time high of $40,980 per BTC at the end of 2024, according to ARK Invests Big Ideas 2025 report. This marks an 86% increase over the previous year, br… [+2258 chars]"
"{'id': 'abc-news', 'name': 'ABC News'}","Selina Wang, Elizabeth Schulze, Molly Nagle",White House crypto czar says public has 'lost out on over $17 billion',Crypto czar David Sacks argued taxpayers have lost out on billions because earlier administrations never took advantage of bitcoin in the government's possession.,https://abcnews.go.com/Politics/white-house-crypto-czar-public-lost-17-billion/story?id=119568771,https://i.abcnewsfe.com/a/6ed8d7fe-d9c1-45fc-802a-b38e525dc413/david-sacks-ap-jt-250307_1741379218032_hpMain_16x9.jpg?w=1600,2025-03-07T21:57:13Z,"David Sacks, the White House crypto czar, said Friday that taxpayers have lost out on ""over $17 billion of value"" because earlier administrations never took advantage of bitcoin already in the U.S. g… [+3761 chars]"
"{'id': 'wired', 'name': 'Wired'}","Lily Hay Newman, Matt Burgess",Cybercriminals Allegedly Used a StubHub Backdoor to Steal Taylor Swift Tickets,"Plus: The world’s “largest illicit online marketplace” gets hit by regulators, police seize the Garantex crypto exchange, and scammers trick targets by making up ransomware attacks.",https://www.wired.com/story/stubhub-backdoor-stolen-taylor-swift-tickets/,"https://media.wired.com/photos/67cb3f99e4681291d3b20994/191:100/w_1280,c_limit/taylor-swift-sec-2188665113.jpg",2025-03-08T11:30:00Z,"As Donald Trumps administration continues its relentless reorganization of the United States federal government, documents obtained by WIRED showed this week that the Department of Defense is looking… [+5468 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Matthew Gault,Crypto Soars Then Plunges Following Trump’s Post About a Strategic Reserve,"The Trump Pump briefly sent the prices of five cryptocurrencies soaring, but they're already coming back down to Earth.",https://gizmodo.com/crypto-soars-then-plunges-following-trumps-post-about-a-strategic-reserve-2000570740,https://gizmodo.com/app/uploads/2025/01/BTCBubble.jpg,2025-03-03T15:10:50Z,"Donald Trumps touch is poison. On Sunday morning the President took to Truth Social to juice the numbers of the cryptocurrencies XRP, SOL, and ADA. He said theyd be part of the forthcoming U.S. Crypt… [+2981 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",AJ Dellinger,Trump Family’s DeFi Project Stocked Up on Crypto Assets Ahead of White House Crypto Summit,Surely this is all on the level.,https://gizmodo.com/trump-familys-defi-project-stocked-up-on-crypto-assets-ahead-of-white-house-crypto-summit-2000572583,https://gizmodo.com/app/uploads/2024/11/GettyImages-2163296066.jpg,2025-03-06T19:20:12Z,"Say what you will about the Department of Government Efficiency, but there are some ways that the Trump administration has significantly cut down on bloat. For example, it used to take at least a lit… [+2747 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",,Bitcoin Price Faces Volatility as Market Braces for Potential $85K Breakdown Following August 2023 Pattern,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_855f1010-7003-4d30-97f8-2ef15cb85b3b,,2025-02-19T07:57:24Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",,Crypto Daybook Americas: Bitcoin Slumps as Investors Flock to 'Doomsday Asset' Gold,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_64f20eea-dbe2-450e-a2f4-4972baa0f7b9,,2025-03-10T12:15:00Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",,What Would Make Bitcoin Fall to Zero? 4 Things That Give It Value,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b6502246-0b9a-41d4-bf94-82e2d64e858d,,2025-03-12T11:01:51Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}","Kurt Knutsson, CyberGuy Report",1 click cost a father $4 million in bitcoin to vishing scammers,"A man invested $4 million in bitcoin and lost it all with a single click when he was targeted by a vishing scam, which uses phone calls to trick people.",https://www.foxnews.com/tech/one-click-cost-father-4-million-bitcoin-vishing-scammers,https://static.foxnews.com/foxnews.com/content/uploads/2025/03/2-one-click-cost-a-father-4-million-in-bitcoin-to-vishing-scammers.jpg,2025-03-05T15:00:19Z,"Many of us have families to look after. We save money not only for our own future but also perhaps even more so for our kids and grandkids. We want to secure a good education, help them buy a home or… [+11760 chars]"
"{'id': None, 'name': 'NPR'}",Brittney Melton,"Monthly jobs report to be released. And, the White House to host a crypto event","The Labor Department will release the monthly jobs report card today, which is expected to show solid growth. But that's not the whole picture. And, the White House will host a cryptocurrency summit.",https://www.npr.org/2025/03/07/g-s1-52550/up-first-newsletter-jobs-report-card-crypto-summit-hamas-israel-ceasefire,https://media.npr.org/assets/img/2024/05/03/gettyimages-72560537_wide-da5ddca6a5b2fd1d8e4f18bf9e3cea1857ba2ad0.jpg?s=1400&c=100&f=jpeg,2025-03-07T12:09:16Z,"Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day.
Today's top st… [+5375 chars]"
"{'id': None, 'name': 'MarketWatch'}",Mark Hulbert,North Korea’s $1.5 billion crypto hack is chump change — given what’s lurking,Crypto’s vulnerability to theft will keep bitcoin from widespread use,https://www.marketwatch.com/story/north-koreas-1-5-billion-crypto-hack-is-chump-change-given-whats-lurking-a03f29c3,https://images.mktw.net/im-47117379/social,2025-02-26T12:45:00Z,"Cryptocurrency buyers should be prepared for more and bigger threats after North Koreas recent robbery of close to
 $1.5 billion of cryptocurrency from crypto exchange Bybit.Thats just one of the im… [+306 chars]"
"{'id': None, 'name': 'heise online'}",Martin Holland,"Donald Trump: Krypto-Reserve nicht nur mit Bitcoin, Kurse springen hoch","Der US-Präsident hält am Plan für eine Reserve aus Kryptogeld fest, neben Bitcoin und Ethereum soll sie weitere Digitalwährungen enthalten. Die profitieren.",https://www.heise.de/news/Donald-Trump-Krypto-Reserve-nicht-nur-mit-Bitcoin-Kurse-springen-hoch-10301349.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/8/1/1/2/1/4/shutterstock_1968404476-21e25c3afbb03770.jpg,2025-03-03T06:10:00Z,"Donald Trump hat angekündigt, welche Kryptowährungen in die strategische Reserve seines Landes aufgenommen werden sollen und damit den Kursen dreier weniger bekannter Digitalwährungen deutlichen Auft… [+2584 chars]"
"{'id': None, 'name': 'Xataka.com'}",Rubén Andrés,"Se suponía que las criptomonedas iban ""independizarse"" del poder de los estados. EEUU acaba de matarlo de un plumazo","Donald Trump acaba de dar luz verde al listado de criptomonedas que formarán parte de la reserva estratégica de criptomonedas en EEUU. Su llegada supone el fracaso de los fundamentos sobre los que se creó el bitcoin y el resto de criptomonedas: una economía ""…",https://www.xataka.com/criptomonedas/dijeron-que-criptomonedas-iban-a-descentralizar-finanzas-reserva-estrategica-eeuu-esta-desmontando-esa-premisa,https://i.blogs.es/8365f5/bitcoin-trump/840_560.jpeg,2025-03-03T16:01:15Z,Donald Trump acaba de dar luz verde al listado de criptomonedas que formarán parte de la reserva estratégica de criptomonedas en EEUU. Su llegada supone el fracaso de los fundamentos sobre los que se… [+4625 chars]
"{'id': None, 'name': 'Xataka.com'}",Javier Pastor,Los bancos pasaron años criticando las criptomonedas. El BBVA pronto permitirá operar con bitcoin y ETH desde su app,"Hace casi exactamente cuatro años que el Banco de España (BdE) y la Comisión Nacional de Mercados y Competencia (CNMV) publicaron un comunicado conjunto. En él advertían del riesgo de invertir en criptomonedas, sobre todo debido a a su ""extrema volatilidad, c…",https://www.xataka.com/empresas-y-economia/bancos-pasaron-anos-criticando-criptomonedas-bbva-pronto-permitira-operar-bitcoin-eth-su-app-movil,https://i.blogs.es/e81bdf/bbva-bitcoin/840_560.jpeg,2025-03-10T11:15:47Z,Hace casi exactamente cuatro años que el Banco de España (BdE) y la Comisión Nacional de Mercados y Competencia (CNMV) publicaron un comunicado conjunto. En él advertían del riesgo de invertir en cri… [+3691 chars]
"{'id': None, 'name': 'heise online'}",Martin Holland,Minus 20 Prozent in einer Woche: Kurse von Bitcoin & Co. regelrecht abgestürzt,Noch vor etwas über einem Monat kostete ein Bitcoin etwa 110.000 US-Dollar. Nach einer dramatischen Woche sind es am Freitag jetzt nur noch gut 80.000.,https://www.heise.de/news/Wie-im-Krypto-Winter-Bitcoin-faellt-auf-80-000-US-Dollar-10299714.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/8/1/0/3/7/9/shutterstock_1977744146-382fbeb9a3469ab6.jpg,2025-02-28T09:49:00Z,"Der Preis für einen Bitcoin ist vorübergehend unter die Marke von 80.000 US-Dollar gefallen, seit dem Höchststand vor nur gut einem Monat ist der Kurs um mehr als 25 Prozent abgesackt. Allein in den … [+1997 chars]"
"{'id': None, 'name': 'heise online'}",Wolf Hosbach,Bösartiger Code in 200 GitHub-Repositories stiehlt knapp 500.000 Euro,Eine Malware-Kampagne in GitHub-Repositories hat es auf Bankdaten und Bitcoin-Wallets abgesehen. Der Schadcode wird oft erst zur Build-Zeit ausgeführt.,https://www.heise.de/news/Boesartiger-Code-in-200-GitHub-Repositories-stiehlt-knapp-500-000-Euro-10296516.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/8/0/8/7/2/2/2024-11-21-Bing_Creator-File_Spreads_Malware-2-47f5d0fccb708742.jpg,2025-02-26T11:37:00Z,"Die Sicherheitsfirma Kaspersky warnt von einer neuen Attacke auf GitHub-Repositories, in der die Angreifer harmlose Fake-Software anbieten, die Bankdaten und Bitcoin-Wallets stiehlt. Seit circa zwei … [+2358 chars]"
"{'id': None, 'name': 'heise online'}",Martin Holland,Größter Diebstahl der Geschichte: Großteil der Beute in Bitcoin umgetauscht,"Anderthalb Wochen, nachdem 1,4 Milliarden US-Dollar in Kryptogeld bei Bybit gestohlen wurden, wurde die Beute fast komplett in Bitcoin umgetauscht.",https://www.heise.de/news/Groesster-Diebstahl-der-Geschichte-Grossteil-der-Beute-in-Bitcoin-umgetauscht-10304412.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/8/1/2/8/1/8/shutterstock_1841762269-1efce39393fb55d5.jpg,2025-03-05T06:24:00Z,"Der Großteil der Beute des größten Krypto-Diebstahls und Diebstahls überhaupt wurde inzwischen in Bitcoin umgetauscht, etwa 10 Prozent sind nicht mehr auffindbar. Das berichtet TechCrunch unter Beruf… [+2971 chars]"
"{'id': None, 'name': 'heise online'}",Martin Holland,Zwischenhoch schon vorbei: Bitcoin & Co. haben Gewinne bereits wieder verloren,"Der starke Anstieg beim Preis für mehrere Kryptowährungen war wohl nur ein Strohfeuer, die Gewinne sind am Montag fast komplett wieder verloren gegangen.",https://www.heise.de/news/Zwischenhoch-schon-vorbei-Bitcoin-Co-haben-Gewinne-bereits-wieder-verloren-10302829.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/8/1/1/9/8/8/shutterstock_1627989508-9f1bc314553beae8.jpg,2025-03-04T06:44:00Z,"Nachdem neue Details zur geplanten nationalen US-Reserve aus Kryptogeld dem Bitcoin und einigen Alternativen deutliche Kursgewinne beschert haben, sind die im Verlauf des Montags fast komplett wieder… [+1940 chars]"
"{'id': None, 'name': 'The Atlantic'}",Ben Walsh,Trump’s Crypto Reserve Is Really Happening,Now what?,https://www.theatlantic.com/technology/archive/2025/03/trump-crypto-reserve-executive-order/681977/,https://cdn.theatlantic.com/thumbor/FaimLLM3VTMKJbldSCCxeK_kKA0=/0x43:2000x1085/1200x625/media/img/mt/2025/03/20250305_crypto_reserve/original.jpg,2025-03-08T00:00:00Z,"Donald Trump wants to get back into the casino business. These days, the onetime owner of the infamous Taj Mahal casino is not interested in slot machines. He is set on a much newer kind of gambling:… [+5652 chars]"
"{'id': None, 'name': 'Xataka.com'}",Javier Pastor,La reserva estratégica de criptomonedas de Trump ha desatado la polémica. Y de paso ha disparado el valor de Bitcoin o ETH,"El verano pasado Donald Trump estaba en plena campaña para su reelección, y como parte de su estrategia planteó un proyecto singular: la creación de una reserva nacional estratégica de criptomonedas. Acaba de ofrecer más detalles sobre esta iniciativa, y eso …",https://www.xataka.com/criptomonedas/reserva-estrategica-criptomonedas-trump-ha-desatado-polemica-paso-ha-disparado-valor-bitcoin-eth,https://i.blogs.es/423b32/trump-btc/840_560.jpeg,2025-03-03T10:31:15Z,"El verano pasado Donald Trump estaba en plena campaña para su reelección, y como parte de su estrategia planteó un proyecto singular: la creación de una reserva nacional estratégica de criptomonedas.… [+5540 chars]"
"{'id': None, 'name': 'Genbeta.com'}",Antonio Vallejo,Hay 28 milmillonarios por las criptomonedas en el mundo. Solo 11 de ellos lo son por invertir en bitcoin,"El año pasado pudimos echarle un ojo al informe de riqueza global de 2023, elaborado por UBS y Credit Suisse. En él observamos que, según los datos, en el mundo había aproximadamente 59,4 millones de personas con un patrimonio superior a un millón de dólares.…",https://www.genbeta.com/actualidad/hay-28-milmillonarios-criptomonedas-mundo-solo-11-ellos-invertir-bitcoin,https://i.blogs.es/73fcc7/andre-francois-mckenzie-igyibhdntpe-unsplash/840_560.jpeg,2025-03-11T09:38:15Z,"El año pasado pudimos echarle un ojo al informe de riqueza global de 2023, elaborado por UBS y Credit Suisse. En él observamos que, según los datos, en el mundo había aproximadamente 59,4 millones de… [+2874 chars]"
"{'id': None, 'name': 'Golem.de'}",Ingo Pakalski,Kryptowährung: Bitcoin sackt immer weiter ab,"Seitdem Donald Trump wieder US-Präsident ist, kennt der Bitcoin-Kurs nur die Richtung nach unten. Der jetzige Kurseinbruch hat mehrere Gründe. (Bitcoin, Wirtschaft)",https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2Fkryptowaehrung-bitcoin-sackt-immer-weiter-ab-2502-193818.html&referer=https%3A%2F%2Ft.co%2F641f1ccafc,,2025-02-28T10:39:02Z,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]"
"{'id': None, 'name': 'CoinDesk'}",CoinDesk,XRP & DOGE Blast After SEC Acknowledges Grayscale ETF Applications,"XRP and Dogecoin surge after the U.S. SEC acknowledged Graycale's applications for XRP and DOGE spot ETFs. Plus, GameStop considers buying bitcoin and South ...",https://videos.coindesk.com/previews/BIrOY5ao,https://media.zenfs.com/en/coindesk_75/324149addf68cb0f0bbb2de860cc2c74,2025-02-14T16:22:11Z,"XRP and Dogecoin surge after the U.S. SEC acknowledged Graycale's applications for XRP and DOGE spot ETFs. Plus, GameStop considers buying bitcoin and South Korea lifts a ban on crypto trading in a s… [+97 chars]"
"{'id': None, 'name': 'MarketWatch'}",Frances Yue,Why bitcoin bulls aren’t happy about Trump’s plans for something they’ve long wanted: a crypto reserve,A backlash over President Donald Trump’s plan to include three small and relatively risky tokens in an eagerly awaited U.S. strategic crypto reserve helped largely erase a rally for bitcoin and other digital assets on Monday.,https://www.marketwatch.com/story/why-bitcoin-bulls-arent-happy-about-trumps-plans-for-something-theyve-long-wanted-a-crypto-reserve-49a05354,https://images.mktw.net/im-809887/social,2025-03-03T22:34:00Z,A backlash over President Donald Trumps plan to include three small and relatively risky tokens in an eagerly awaited U.S. strategic crypto reserve helped largely erase a rally for bitcoin and other … [+263 chars]
"{'id': 'business-insider', 'name': 'Business Insider'}",fdemott@businessinsider.com (Filip De Mott),Crypto party: The SEC dropping a major lawsuit could open the floodgates for more deregulation,"""This is not about how the litigation was going, this is about the Trump administration not wanting to go after crypto,"" a source told BI.",https://www.businessinsider.com/sec-coinbase-lawsuit-crypto-regulation-trump-ripple-xrp-coin-stock-2025-2,https://i.insider.com/67b8ad2aeb4be2fff9a54002?width=1200&format=jpeg,2025-02-21T17:56:35Z,"The Securities and Exchange Commission is ending a nearly two-year case against Coinbase, a development that's likely a harbinger of the coming era of lighter regulation of digital assets under the T… [+4865 chars]"
"{'id': None, 'name': 'Gizmodo.jp'}",satomi,北朝鮮がBybitから盗んだ仮想通貨2200億円、超速で世界に散る,Image:ギズモード・ジャパンgeneratedwithShutterstock.AIMt.GOXの390億円、CoinCheckの580億円も真っ青の、総被害額2200億円！ドバイの仮想通貨取引所Bybit（バイビット）が先月21日ハックされ、14億6000万ドル（約2200億円）相当のイーサリアムが盗まれて「暗号資産史上最大の盗難事件」と騒がれています。本件でFBIは同26日、北朝鮮のハッカ,https://www.gizmodo.jp/2025/03/bybit-hacked.html,https://media.loom-app.com/gizmodo/dist/images/2025/03/01/shutterstock_2592314587.jpg?w=1280&h=630&f=jpg,2025-03-01T14:00:00Z,"Mt.GOX390CoinCheck5802200
Bybit211460002200
FBI26TraderTraitorLazarus Group
Bybit
BybitCEOBen ZhouX
Bybit ETH*1*
UI@safeURLETH*
ETHETH
***
Bitcoin Insider
Bybit
TRM LabsEther48230014600DL … [+188 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Lucas Ropek,Neo-Nazis Seek Bitcoin Donations as They Prepare to Return to Trump’s America,The rightwing group seeks the creation of a white ethnostate.,https://gizmodo.com/neo-nazis-seek-bitcoin-donations-as-they-prepare-to-return-to-trumps-america-2000567705,https://gizmodo.com/app/uploads/2021/07/63942279fef61556bc46015f2c79c3e8.jpg,2025-02-24T21:50:46Z,"A notorious neo-Nazi group appears to be building up its membership in the U.S., and it’s using cryptocurrency as a way to crowdfund its growth, The Guardian has reported.
“The Base,” which was foun… [+3312 chars]"
"{'id': None, 'name': 'Faz.net'}",Alexander Bechtel,Strategische Bitcoin-Reserve: Donald Trump macht Bitcoin zur Staatsangelegenheit,Mit einer neuen Durchführungsverordnung schafft Donald Trump eine strategische Bitcoin-Reserve für die USA. Ein kluger Schachzug gegen geopolitische Rivalen oder nur Symbolpolitik?,https://www.faz.net/pro/digitalwirtschaft/transformation/donald-trump-macht-bitcoin-zur-staatsangelegenheit-110346852.html,https://media0.faz.net/ppmedia/pro/digitalwirtschaft/transformation/2858405403/1.10348996/facebook_teaser/hq/donald-trump-gab-nach-knapp.jpg,2025-03-12T12:46:14Z,Donald Trump bleibt seinem Stil treu. Nach knapp zwei Monaten im Amt unterzeichnet er weiterhin eine Durchführungsverordnung nach der anderen. Am 6. März rückte erneut die Kryptowelt in den Fokus. De… [+3960 chars]
"{'id': None, 'name': 'Faz.net'}",Alexander Bechtel,Strategische Bitcoin-Reserve: Donald Trump macht Bitcoin zur Staatsangelegenheit,Mit einer neuen Durchführungsverordnung schafft Donald Trump eine strategische Bitcoin-Reserve für die USA. Ein kluger Schachzug gegen geopolitische Rivalen oder nur Symbolpolitik?,https://www.faz.net/pro/digitalwirtschaft/transformation/strategische-bitcoin-reserve-donald-trump-macht-bitcoin-zur-staatsangelegenheit-110346852.html,https://media0.faz.net/ppmedia/pro/digitalwirtschaft/transformation/2858405403/1.10348996/facebook_teaser/hq/donald-trump-gab-nach-knapp.jpg,2025-03-12T12:46:14Z,Donald Trump bleibt seinem Stil treu. Nach knapp zwei Monaten im Amt unterzeichnet er weiterhin eine Durchführungsverordnung nach der anderen. Am 6. März rückte erneut die Kryptowelt in den Fokus. De… [+3960 chars]
